Time	IR_beta_pY1146	IRbetaPercent	InsulinPercent
2	0.646988	67	10
2	0.656644	68	10
2	0.666301	69	10
2	0.675957	70	10
2	0.685614	71	10
2	0.69527	72	10
2	0.704927	73	10
2	0.714583	74	10
2	0.72424	75	10
2	0.733896	76	10
2	0.743553	77	10
2	0.753209	78	10
2	0.762866	79	10
2	0.772522	80	10
2	0.782179	81	10
2	0.791836	82	10
2	0.801492	83	10
2	0.811149	84	10
2	0.820805	85	10
2	0.830462	86	10
2	0.840118	87	10
2	0.849775	88	10
2	0.859431	89	10
2	0.869088	90	10
2	0.878744	91	10
2	0.888401	92	10
2	0.898057	93	10
2	0.907714	94	10
2	0.91737	95	10
2	0.927027	96	10
2	0.936683	97	10
2	0.94634	98	10
2	0.955997	99	10
2	0.965653	100	10
2	0	0	11
2	0.0105653	1	11
2	0.0211306	2	11
2	0.0316959	3	11
2	0.0422612	4	11
2	0.0528265	5	11
2	0.0633918	6	11
2	0.0739571	7	11
2	0.0845224	8	11
2	0.0950877	9	11
2	0.105653	10	11
2	0.116218	11	11
2	0.126784	12	11
2	0.137349	13	11
2	0.147914	14	11
2	0.15848	15	11
2	0.169045	16	11
2	0.17961	17	11
2	0.190175	18	11
2	0.200741	19	11
2	0.211306	20	11
2	0.221871	21	11
2	0.232437	22	11
2	0.243002	23	11
2	0.253567	24	11
2	0.264133	25	11
2	0.274698	26	11
2	0.285263	27	11
2	0.295828	28	11
2	0.306394	29	11
2	0.316959	30	11
2	0.327524	31	11
2	0.33809	32	11
2	0.348655	33	11
2	0.35922	34	11
2	0.369786	35	11
2	0.380351	36	11
2	0.390916	37	11
2	0.401481	38	11
2	0.412047	39	11
2	0.422612	40	11
2	0.433177	41	11
2	0.443743	42	11
2	0.454308	43	11
2	0.464873	44	11
2	0.475439	45	11
2	0.486004	46	11
2	0.496569	47	11
2	0.507134	48	11
2	0.5177	49	11
2	0.528265	50	11
2	0.53883	51	11
2	0.549396	52	11
2	0.559961	53	11
2	0.570526	54	11
2	0.581092	55	11
2	0.591657	56	11
2	0.602222	57	11
2	0.612787	58	11
2	0.623353	59	11
2	0.633918	60	11
2	0.644483	61	11
2	0.655049	62	11
2	0.665614	63	11
2	0.676179	64	11
2	0.686745	65	11
2	0.69731	66	11
2	0.707875	67	11
2	0.71844	68	11
2	0.729006	69	11
2	0.739571	70	11
2	0.750136	71	11
2	0.760702	72	11
2	0.771267	73	11
2	0.781832	74	11
2	0.792398	75	11
2	0.802963	76	11
2	0.813528	77	11
2	0.824093	78	11
2	0.834659	79	11
2	0.845224	80	11
2	0.855789	81	11
2	0.866355	82	11
2	0.87692	83	11
2	0.887485	84	11
2	0.898051	85	11
2	0.908616	86	11
2	0.919181	87	11
2	0.929747	88	11
2	0.940312	89	11
2	0.950877	90	11
2	0.961442	91	11
2	0.972008	92	11
2	0.982573	93	11
2	0.993138	94	11
2	1.0037	95	11
2	1.01427	96	11
2	1.02483	97	11
2	1.0354	98	11
2	1.04596	99	11
2	1.05653	100	11
2	0	0	12
2	0.0114641	1	12
2	0.0229283	2	12
2	0.0343924	3	12
2	0.0458566	4	12
2	0.0573207	5	12
2	0.0687849	6	12
2	0.080249	7	12
2	0.0917132	8	12
2	0.103177	9	12
2	0.114641	10	12
2	0.126106	11	12
2	0.13757	12	12
2	0.149034	13	12
2	0.160498	14	12
2	0.171962	15	12
2	0.183426	16	12
2	0.19489	17	12
2	0.206355	18	12
2	0.217819	19	12
2	0.229283	20	12
2	0.240747	21	12
2	0.252211	22	12
2	0.263675	23	12
2	0.27514	24	12
2	0.286604	25	12
2	0.298068	26	12
2	0.309532	27	12
2	0.320996	28	12
2	0.33246	29	12
2	0.343924	30	12
2	0.355389	31	12
2	0.366853	32	12
2	0.378317	33	12
2	0.389781	34	12
2	0.401245	35	12
2	0.412709	36	12
2	0.424173	37	12
2	0.435638	38	12
2	0.447102	39	12
